station_name;location
Bern Bümpliz Süd;POINT(7.39406903722841 46.9366937801043)
Niederwangen;POINT(7.37590510218098 46.925296058316)
Thun;POINT(7.62821491606675 46.7554977572625)
Uttigen;POINT(7.58232897134754 46.795640748363)
Kiesen;POINT(7.57492685340537 46.8203699193198)
Wichtrach;POINT(7.56827932030196 46.8428941844398)
Landquart;POINT(9.55404118873594 46.9674395751018)
Malans GR;POINT(9.57372327661374 46.9776515601048)
Grüsch;POINT(9.645777145563 46.9804892384915)
Schiers;POINT(9.68835729003619 46.9679912927839)
Chur;POINT(9.52893327654131 46.8530869214607)
Chur Wiesental;POINT(9.53145754249004 46.86190800621)
Haldenstein;POINT(9.53308349315452 46.8769607024468)
Untervaz-Trimmis;POINT(9.55917056900898 46.9189827134197)
Zizers;POINT(9.55959277719258 46.9348413553167)
Igis;POINT(9.56475809007698 46.9498306625403)
Landquart Ried;POINT(9.5608683848962 46.9572011145199)
Rodels-Realta;POINT(9.43293032211409 46.7351410626761)
Cazis;POINT(9.43293930526693 46.7198700365717)
Thusis;POINT(9.44050311996027 46.698199930672)
Chur West;POINT(9.51271868566069 46.8499414488743)
Felsberg;POINT(9.48127765071214 46.8430969521316)
Domat/Ems;POINT(9.45316038231528 46.8331419984257)
Domat/Ems Werk;POINT(9.43038808985968 46.8286370830742)
Reichenau-Tamins;POINT(9.41254754831458 46.8236584973275)
Bonaduz;POINT(9.39776127873592 46.8102877912413)
Rhäzüns;POINT(9.39926146526061 46.7996810740696)
Rothenbrunnen;POINT(9.41960830644875 46.7678606804211)
Zürich Hardbrücke;POINT(8.51941554326011 47.3846420348768)
Zürich Stadelhofen;POINT(8.54758671057402 47.367919270977)
Stettbach;POINT(8.59674252292788 47.3984347787243)
Dietlikon;POINT(8.61858955064071 47.4186308622763)
Effretikon;POINT(8.68577455074936 47.4242530171375)
Zürich Altstetten;POINT(8.49139708954452 47.390985442551)
Othmarsingen;POINT(8.21558734782291 47.4081264607421)
Mägenwil;POINT(8.23816201091597 47.4157314191358)
Mellingen Heitersberg;POINT(8.27828077151034 47.4285193761045)
Killwangen-Spreitenbach;POINT(8.35658691483794 47.4327853892781)
Dietikon;POINT(8.40581459241454 47.4048677252351)
Glanzenberg;POINT(8.42394259485059 47.398301004014)
Schlieren;POINT(8.44870914723722 47.3994806420241)
Wettingen;POINT(8.31634239010378 47.4591334189452)
Neuenhof;POINT(8.33212578964796 47.4496272935595)
Rupperswil;POINT(8.12739973636862 47.4035787667463)
Oberwinterthur;POINT(8.75893334749824 47.5058433350896)
Birr;POINT(8.21742889415561 47.4367533218742)
Lupfig;POINT(8.21480581352562 47.4469847106844)
Turgi;POINT(8.25564322634737 47.4910407754964)
Baden;POINT(8.3069280459249 47.4745643049103)
Wohlen AG;POINT(8.2691718545281 47.3487080117605)
Dottikon-Dintikon;POINT(8.23287991704462 47.3746236131344)
Hendschiken;POINT(8.20698148739984 47.3900306351709)
Zürich Tiefenbrunnen;POINT(8.56084584416947 47.3509173277875)
Kemptthal;POINT(8.70523205980609 47.4511277355431)
Jenaz;POINT(9.71831610476575 46.9297499240065)
Küblis;POINT(9.77183772940104 46.9142825003491)
Saas im Prättigau;POINT(9.80995324691154 46.9076487305822)
Klosters Dorf;POINT(9.87533263329886 46.8834693328155)
Klosters Platz;POINT(9.88093812067254 46.8692107185882)
Davos Platz;POINT(9.82073303032247 46.7914709617486)
Davos Dorf;POINT(9.84211293408749 46.8097221524528)
Prilly-Malley;POINT(6.60385701428983 46.5261699105978)
Renens VD;POINT(6.58092302508307 46.5362063060372)
Bussigny;POINT(6.55280575668621 46.5469142810376)
Vufflens-la-Ville;POINT(6.5305185544841 46.5747031419435)
Cossonay-Penthalaz;POINT(6.52370034147669 46.606236345273)
Essert-Pittet;POINT(6.58006064241019 46.7273398326448)
Ependes VD;POINT(6.60629144871013 46.7458343641816)
Yverdon-les-Bains;POINT(6.64294271230731 46.7810512332733)
Grandson;POINT(6.63917877126633 46.8053075062332)
Eclépens;POINT(6.55271592515779 46.6563935837519)
Bavois;POINT(6.55915684574582 46.6871027998951)
Chavornay;POINT(6.56802321760132 46.7095165318302)
Cully;POINT(6.72746519740188 46.4885725735741)
Lutry;POINT(6.69008629842447 46.5040449768185)
Pully;POINT(6.65822305529231 46.5110747459758)
Spiez;POINT(7.67953566825565 46.6864557563514)
Brig;POINT(7.98791832218396 46.3199778148246)
Mülenen;POINT(7.69089935660134 46.638479011871)
Eggerberg;POINT(7.88076727507927 46.3069539906103)
Ausserberg;POINT(7.84437652291453 46.3120360706499)
Hohtenn;POINT(7.76451629414518 46.322595855976)
Goppenstein;POINT(7.75499415213219 46.3675730834395)
Kandersteg;POINT(7.67138794862755 46.4954002678243)
Frutigen;POINT(7.65140043355311 46.5885953219259)
Reichenbach im Kandertal;POINT(7.68971358042614 46.6251857114135)
Domodossola (I);POINT(8.29623809404239 46.1152911807506)
Preglia;POINT(8.29304907478332 46.1454288440213)
Varzo;POINT(8.24514192067455 46.2063074803076)
Iselle di Trasquera;POINT(8.20701742001122 46.2070099871108)
Cavadürli;POINT(9.86802933003795 46.8704021518209)
Davos Laret;POINT(9.87339227228489 46.8481966151162)
Davos Wolfgang;POINT(9.85454561762144 46.8319620298125)
Seewis-Pardisla;POINT(9.63253597827323 46.9768915515563)
Furna;POINT(9.70894667635108 46.9397789678838)
Fideris;POINT(9.73375814450191 46.9223695565372)
Herisau;POINT(9.27680312571239 47.3901705124927)
Konstanz;POINT(9.1773147079823 47.6587524089564)
St. Gallen Haggen;POINT(9.3381400933206 47.4078407214761)
Allaman;POINT(6.40102640626025 46.4758858770773)
Gland;POINT(6.27052814491804 46.4210721034626)
Coppet;POINT(6.18801788606018 46.3184019666286)
Versoix;POINT(6.16477846965677 46.2809342947069)
Nyon;POINT(6.23749709191637 46.385880792616)
Annemasse;POINT(6.23640114726959 46.1993440952027)
Morges;POINT(6.49609511279185 46.5126141255245)
Lancy-Bachet;POINT(6.130669438314 46.1739264701794)
Lancy-Pont-Rouge;POINT(6.12529751291422 46.1875540672815)
Rolle;POINT(6.33795569015344 46.4634251694927)
Palézieux;POINT(6.83709559469109 46.5414029962098)
Vevey;POINT(6.84089546834345 46.4646070174289)
Zürich Triemli;POINT(8.49506221590424 47.3649744448053)
Zürich Schweighof;POINT(8.50353332903466 47.3649440221893)
Zürich Friesenberg;POINT(8.50750388259102 47.36480407793)
Zürich Binz;POINT(8.51830163230764 47.3627596325094)
Zürich Selnau;POINT(8.53172246265426 47.3722388631333)
Zürich HB SZU;POINT(8.53957373823855 47.3774036574743)
Uetliberg;POINT(8.48750738436374 47.3519763059862)
Ringlikon;POINT(8.47729353958188 47.360246559797)
Uitikon Waldegg;POINT(8.46592086808334 47.3659236216092)
Mendrisio;POINT(8.97933500248764 45.870049752555)
Balerna;POINT(9.00359849831509 45.8475965182911)
Chiasso;POINT(9.02772724684989 45.833384173579)
Bellinzona;POINT(9.03095219872033 46.1961232310966)
Giubiasco;POINT(9.00533224681368 46.1750523832352)
Lugano;POINT(8.94592665706658 46.0076361356796)
Paradiso;POINT(8.94556733095289 45.9890397148371)
Melide;POINT(8.94782210231634 45.9567494791489)
Maroggia-Melano;POINT(8.97549021307107 45.9316572401964)
Capolago-Riva S. Vitale;POINT(8.9796224633786 45.9037407336886)
Mendrisio S. Martino;POINT(8.98296419623599 45.8781929866745)
Castione-Arbedo;POINT(9.04131875710052 46.2239109596369)
Biasca;POINT(8.97489732498347 46.3505179671472)
Lamone-Cadempino;POINT(8.93211955114774 46.0397220977393)
Taverne-Torricella;POINT(8.93009834175819 46.0565934359766)
Mezzovico;POINT(8.9294425716007 46.0951300253154)
Rivera-Bironico;POINT(8.92614575450752 46.1227446432998)
Bodio TI;POINT(8.90589772800065 46.3806382505769)
Lavorgo;POINT(8.83929663282675 46.4412004149077)
Faido;POINT(8.78847893719704 46.4834450549063)
Ambrì-Piotta;POINT(8.68919713198233 46.5109820108756)
Airolo;POINT(8.60691145194553 46.5274678247586)
Como S. Giovanni;POINT(9.07271487628486 45.8089687702111)
Como Camerlata;POINT(9.07951512298659 45.7844925441662)
Weinfelden;POINT(9.10340132639466 47.5673090682292)
Bürglen TG;POINT(9.1495477825463 47.5492073612897)
Sulgen;POINT(9.18039592940726 47.5393839924586)
Erlen;POINT(9.22479067075463 47.5510808688884)
Oberaach;POINT(9.27019152522035 47.5533120138639)
Amriswil;POINT(9.29785065282224 47.5509656713244)
Bronschhofen;POINT(9.03486885335964 47.4752807806529)
Bronschhofen AMP;POINT(9.03110491231865 47.4807390335962)
Bettwiesen;POINT(9.02081021916121 47.4976202060882)
Tägerschen;POINT(9.02436754768682 47.5088531030812)
Tobel-Affeltrangen;POINT(9.03350341412759 47.521254438852)
Märwil;POINT(9.06923839613484 47.5331312479017)
Oppikon;POINT(9.06219560430636 47.5518144895386)
Bussnang;POINT(9.08414144670045 47.5561008115051)
Estavayer-le-Lac;POINT(6.84191954776748 46.8441353564973)
Cugy FR;POINT(6.88859600993683 46.8160360654082)
Payerne;POINT(6.93920709305117 46.8190236957182)
Corcelles-Sud;POINT(6.95667034217688 46.8288767811233)
Cousset;POINT(6.97687345291955 46.8188946040127)
Léchelles;POINT(7.01049739400882 46.8294668025365)
Grolley;POINT(7.06413579963106 46.8315133891151)
Belfaux CFF;POINT(7.10559304999895 46.8168905692154)
Givisiez;POINT(7.12886839901373 46.8166877026343)
Winterthur Grüze;POINT(8.75208818503229 47.4986155463033)
Sennhof-Kyburg;POINT(8.76056828131556 47.465437492264)
Kollbrunn;POINT(8.77263265558297 47.4588601038723)
Rikon;POINT(8.79589003829206 47.4451378613088)
Rämismühle-Zell;POINT(8.81847368453796 47.4419968534274)
Turbenthal;POINT(8.84343786628712 47.4379928596955)
Wila;POINT(8.84812707207088 47.418764585362)
Winterthur Seen;POINT(8.76657801056716 47.4882424467811)
Winterthur Wallrüti;POINT(8.76115218625032 47.5156183829299)
Reutlingen;POINT(8.75477414773218 47.5281091052318)
Seuzach;POINT(8.74083229452071 47.534580786598)
Sins;POINT(8.39763992332791 47.19057848671)
Mühlau;POINT(8.38688708937551 47.2256561792073)
Benzenschwil;POINT(8.36473463446603 47.2473819664193)
Muri AG;POINT(8.3390338341838 47.2775892963367)
Boswil-Bünzen;POINT(8.31352168011125 47.3060190292743)
Oberrüti;POINT(8.40456593416944 47.1670522167849)
Lissone-Muggiò;POINT(9.23533689219166 45.6060396441724)
Monza;POINT(9.27368597167606 45.574822105206)
Sesto S. Giovanni;POINT(9.23935236151223 45.5410327963765)
Milano Greco Pirelli;POINT(9.21449597759718 45.5128951889795)
Milano Porta Garibaldi;POINT(9.18729499079026 45.4844348998938)
Cucciago;POINT(9.08344974393158 45.7383104519366)
Cantù-Cermenate;POINT(9.09837076080289 45.7134205827012)
Carimate;POINT(9.10754255985503 45.6944619783635)
Camnago-Lentate;POINT(9.13328827590147 45.6662003500187)
Seregno;POINT(9.20212617613313 45.6445190378158)
Desio;POINT(9.21791855883015 45.6178344219519)
Milano Centrale;POINT(9.20482112198587 45.487136726617)
Samedan;POINT(9.87362583425879 46.5337591786226)
Celerina;POINT(9.85844430595506 46.5139803656296)
St. Moritz;POINT(9.8463889148405 46.4979727998376)
Davos Frauenkirch;POINT(9.79925431187618 46.7665992876195)
Davos Glaris;POINT(9.77993155011208 46.7455696736254)
Davos Wiesen;POINT(9.71583675458123 46.6954890153729)
Filisur;POINT(9.6822846787147 46.6753315579068)
Bergün/Bravuogn;POINT(9.74674778351209 46.6310709441814)
Preda;POINT(9.77730846948209 46.5881508272981)
Bever;POINT(9.88846600275451 46.5499106528878)
Davos Monstein;POINT(9.76000691710754 46.7159099478105)
Les Granges (Orbe);POINT(6.54146901779905 46.7209724045895)
St-Eloi;POINT(6.53205467362016 46.7206213736425)
Orbe;POINT(6.53014126206472 46.724408692193)
Wiedlisbach;POINT(7.64610037337606 47.2528821420024)
Oberbipp;POINT(7.66101240709452 47.2597352199885)
Buchli;POINT(7.67838582469181 47.2636308359693)
Niederbipp;POINT(7.69481601124065 47.2704032824032)
Niederbipp Industrie;POINT(7.70317034338412 47.2786375560781)
Oensingen;POINT(7.70920702209424 47.2848352721014)
Solothurn;POINT(7.54370141412503 47.2046660537798)
Solothurn Baseltor;POINT(7.54189580040369 47.2099875926245)
Solothurn Sternen;POINT(7.54536329740088 47.2123003427155)
St. Katharinen;POINT(7.5497919917522 47.2161079226205)
Feldbrunnen;POINT(7.55585561992085 47.2206595744279)
Bei den Weihern;POINT(7.56659048756758 47.2283891654685)
Riedholz;POINT(7.57268106519476 47.2310305115799)
Flumenthal;POINT(7.59668404958977 47.2391611271635)
Attiswil;POINT(7.61439882699507 47.2465831129296)
Aarwangen Vorstadt;POINT(7.77130755769407 47.2374899697048)
Hard-Mumenthal;POINT(7.77488285252537 47.2338120178347)
Langenthal Gaswerk;POINT(7.78217717263343 47.2248020921027)
Langenthal;POINT(7.78471940488784 47.2173038368101)
Niederbipp Dorf;POINT(7.69513940474297 47.265819327012)
Scharnageln;POINT(7.70078980788087 47.263100463796)
Holzhäusern;POINT(7.71040178142229 47.2581622609414)
Bannwil;POINT(7.74036059615185 47.244381629898)
Aarwangen Schloss;POINT(7.76361797886094 47.2451805165884)
Aarwangen;POINT(7.76961872495969 47.2408749236807)
Zweisimmen;POINT(7.37490797221547 46.5534381281573)
Erlenbach im Simmental;POINT(7.55560409164127 46.6591619503418)
Oey-Diemtigen;POINT(7.57940046352091 46.659901801598)
Burgholz;POINT(7.60323276801191 46.6657524353443)
Wimmis;POINT(7.63555415193903 46.6756890469912)
Grubenwald;POINT(7.38296586031515 46.5798097036111)
Weissenbach;POINT(7.37429711782219 46.6035640191386)
Boltigen;POINT(7.38992780376804 46.6272400634717)
Enge im Simmental;POINT(7.4176228639813 46.6475326248548)
Oberwil im Simmental;POINT(7.43548137183208 46.6561346201626)
Weissenburg;POINT(7.47592352592877 46.6592975904966)
Därstetten;POINT(7.49564154641794 46.6588290139736)
Ringoldingen;POINT(7.52457628172346 46.6575589045566)
Eifeld;POINT(7.64227355026518 46.6838675046716)
Lattigen bei Spiez;POINT(7.65026855629496 46.6911389441689)
Biel/Bienne;POINT(7.24446360979032 47.1319113280669)
Lyss;POINT(7.30704923564364 47.0752778479892)
Zollikofen;POINT(7.46365253914599 47.0029401982583)
Maienfeld;POINT(9.52686715138755 47.0050169255763)
Bad Ragaz;POINT(9.50172330658154 47.0113385011544)
Sargans;POINT(9.44733031612053 47.0442451569374)
Yverdon William Barbey;POINT(6.63167783864289 46.7889923071724)
La Brinaz;POINT(6.62021533561592 46.7944476565762)
Valeyres-sous-Montagny;POINT(6.61133998060759 46.7968215141904)
Essert-sous-Champvent;POINT(6.58015047393862 46.7953824523846)
Vuiteboeuf;POINT(6.55386576872162 46.8037456922607)
Baulmes;POINT(6.52428424641145 46.7887462806399)
Six-Fontaines;POINT(6.4987720923389 46.7742225724161)
Ste-Croix;POINT(6.50070347020003 46.8194355576589)
Wildegg;POINT(8.16444625869086 47.4170687083461)
Dulliken;POINT(7.94467342440043 47.3543619721145)
Däniken SO;POINT(7.97680616211786 47.3558894721067)
Schönenwerd SO;POINT(7.99944370728082 47.3701825380307)
Langenthal Industrie Nord;POINT(7.78647111969212 47.2285599724311)
Kaltenherberg;POINT(7.79958652284209 47.237178909031)
Roggwil Schmitten;POINT(7.81591789470966 47.2376180529809)
Roggwil Dorf;POINT(7.82234084899201 47.2393379984086)
Roggwil Buchägerten;POINT(7.83194383938058 47.2356601748129)
St. Urban;POINT(7.83581557825567 47.2317503013221)
St. Urban Ziegelei;POINT(7.83614795491085 47.2271996017137)
Neuhausen;POINT(8.62532691527254 47.6824289141156)
Schloss Laufen am Rheinfall;POINT(8.61219354581688 47.6753343487597)
Dachsen;POINT(8.61459204762582 47.6662848076572)
Marthalen;POINT(8.65622896105055 47.6299377650563)
Andelfingen;POINT(8.67516544724243 47.5935775431861)
Henggart;POINT(8.68508284798049 47.564314776843)
Hettlingen;POINT(8.69538652429077 47.5437198420636)
Sirnach;POINT(9.00085863669814 47.462036544686)
Eschlikon TG;POINT(8.96005715648775 47.4613806223445)
Guntershausen;POINT(8.91771955714131 47.4738174596274)
Aadorf;POINT(8.90353515880308 47.4878964391642)
Elgg;POINT(8.86507828148457 47.4983909894884)
Schottikon;POINT(8.81167343783623 47.5001570725655)
Räterschen;POINT(8.79645597692113 47.4984334732838)
Winterthur Hegi;POINT(8.77053958097067 47.5018077906613)
Nevers;POINT(3.15020305563601 46.9877145256808)
Bourges;POINT(2.39438752493116 47.0943132224312)
Vierzon;POINT(2.0599447446069 47.2267237687367)
St-Pierre-des-Corps;POINT(0.7238894055028 47.3855422005649)
Saumur-Rive-Droite;POINT(-0.0715597955429223 47.2688611183202)
Angers-St-Laud;POINT(-0.55852752797906 47.4640832127169)
Nantes;POINT(-1.54147309515231 47.217090282683)
Lyon Perrache;POINT(4.8253005493197 45.7483660986598)
Lyon Part Dieu;POINT(4.85999348559722 45.7605633481531)
Roanne;POINT(4.06304409802681 46.0393417162367)
Saint-Germain-des-Fossés;POINT(3.43052234008453 46.2092417853968)
Moulins sur Allier;POINT(3.33926249035812 46.5612521210634)
Samstagern;POINT(8.68597218011189 47.1915430061418)
Grüenfeld;POINT(8.68729270357973 47.1982941513658)
Burghalden;POINT(8.69269157843804 47.2086694630218)
Wädenswil;POINT(8.67541697552202 47.2289930876188)
Einsiedeln;POINT(8.7444704714219 47.1285805360729)
Biberbrugg;POINT(8.72269530893181 47.1563694499947)
Schindellegi-Feusisberg;POINT(8.70937329326646 47.176401692066)
Buchs SG;POINT(9.47936423915669 47.1665025556512)
Sevelen;POINT(9.49433017179221 47.1242410262835)
Heerbrugg;POINT(9.62626573758921 47.4097679116013)
St. Margrethen SG;POINT(9.64059386637291 47.452834664049)
Rorschach;POINT(9.50903559299529 47.4779522989904)
Altstätten SG;POINT(9.55574798777601 47.3729019804629)
Neuchâtel;POINT(6.93356567306612 46.9962683952522)
Neuchâtel-Serrières;POINT(6.90310380177738 46.9837251112543)
Auvernier;POINT(6.87667536611491 46.9796066937468)
Colombier NE;POINT(6.84829758628562 46.9672924494255)
Boudry;POINT(6.83414013740593 46.9592489633869)
Bevaix;POINT(6.81158344061854 46.9296395020616)
Gorgier-St-Aubin;POINT(6.78024122035125 46.898712401574)
Vaumarcus;POINT(6.75677722512678 46.8765861251641)
Concise;POINT(6.72233581712885 46.850457515603)
Au SG;POINT(9.64121370391904 47.4348635781218)
Rebstein-Marbach;POINT(9.58541035846176 47.3919706396765)
Rheineck;POINT(9.59186924535548 47.4658686681155)
Staad SG;POINT(9.53673963636139 47.4809272391017)
Salez-Sennwald;POINT(9.50232517782199 47.2412652468093)
Rüthi SG;POINT(9.53548199496345 47.2861515076899)
Oberriet SG;POINT(9.57128884219344 47.3220367690869)
Menziken;POINT(8.18931162575876 47.240917615413)
Reinach AG;POINT(8.18446072322383 47.2500833435415)
Reinach AG Mitte;POINT(8.18340969434127 47.2544613551605)
Reinach AG Nord;POINT(8.18145136702161 47.2572660191914)
Leimbach AG;POINT(8.16785985677099 47.2727073015421)
Zetzwil;POINT(8.15301968827527 47.2824220884596)
Gontenschwil;POINT(8.14479112027159 47.2803988294625)
Teufenthal AG;POINT(8.11447297942834 47.3293984281833)
Bleien Liebegg;POINT(8.11353873153273 47.3435221464093)
Gränichen Oberdorf;POINT(8.10647797339856 47.3565223675141)
Gränichen;POINT(8.09877941141259 47.3616582763951)
Gränichen Töndler;POINT(8.0921588277677 47.3639583199394)
Suhr;POINT(8.08228634279386 47.3716365750302)
Buchs AG;POINT(8.0695751815218 47.3897326344213)
Aarau Torfeld;POINT(8.06281086743143 47.3935700254199)
Mittelmuhen;POINT(8.05430382168964 47.3344578321801)
Obermuhen;POINT(8.05451043420502 47.3294288712933)
Hirschthal;POINT(8.05282160147063 47.319881051895)
Schöftland Nordweg;POINT(8.05122260026468 47.3110380373352)
Schöftland;POINT(8.05000987463095 47.3058728374306)
Binzenhof;POINT(8.05057581326002 47.3831822740593)
Distelberg;POINT(8.04924630663934 47.3754570334949)
Unterentfelden Post;POINT(8.04444031986863 47.3686676200242)
Unterentfelden Oberdorf;POINT(8.04190707076706 47.3646884715227)
Oberentfelden Uerkenbrücke;POINT(8.04567101180805 47.3610680374126)
Oberentfelden Engelplatz;POINT(8.04656034393945 47.3561085521452)
Muhen Nord;POINT(8.05249820796831 47.343789973528)
Muhen;POINT(8.05329770857128 47.3388288643385)
Unterkulm Nord;POINT(8.11303567497355 47.3147593484577)
Oberkulm;POINT(8.12404003720554 47.2990683780645)
Unterkulm;POINT(8.11512874958584 47.3101305092826)
Kehlhof;POINT(9.16891546007461 47.5719941240374)
Berg;POINT(9.1743951833085 47.5823446112319)
Siegershausen;POINT(9.16810697631879 47.6106828350919)
Lengwil;POINT(9.19028638068679 47.6255969425086)
Kreuzlingen Bernrain;POINT(9.16320217486682 47.6421167812564)
Tägerwilen Dorf;POINT(9.13935190407012 47.6529738083006)
Hinwil;POINT(8.83830848601409 47.3012127605747)
Wetzikon ZH;POINT(8.79377001422124 47.3162636338958)
Aathal;POINT(8.76717089865476 47.3349935770259)
Uster;POINT(8.71940747499147 47.3500348297234)
Nänikon-Greifensee;POINT(8.68669981549213 47.3690570006947)
Schwerzenbach ZH;POINT(8.65994798632733 47.3835715475631)
Dübendorf;POINT(8.62476097664347 47.3996934605023)
